x_m,y_m,w_tr_right_m,w_tr_left_m
89628.7784772563,43133.89660456048,3.760190656137327,3.7805881846070832
89628.26599848327,43134.75776964531,3.715365008666935,3.6309084158644738
89627.74344530966,43135.61236972309,3.9452596061536194,3.7409356581634636
89627.20730802778,43136.45828220696,3.7917125109419634,4.085890227657956
89626.65557005614,43137.29432556276,3.704222078394787,3.8314026379001556
89626.09455333605,43138.12457366539,3.89280124390528,3.7959117505059274
89625.53347317869,43138.95492395526,4.3122087069483435,3.946291738513278
89624.98154775453,43139.79127567484,4.083296050798458,3.83343475450882
89624.44672054477,43140.63870292551,3.8078685551187457,3.9113353730701292
89623.92526087433,43141.49472280866,3.770350077097256,3.6701601184528196
89623.40717224104,43142.35279638494,3.9888573096744424,3.6986206886417587
89622.88239824951,43143.20634594445,3.706811418209644,3.9798018461114295
89622.34088250433,43144.04879377727,3.700997790743731,3.9494408479560095
89621.77488330076,43144.87506307982,3.9843907006208905,3.5663468500205218
89621.18945843395,43145.68837658089,3.869517877473967,3.4184242226505606
89620.59406535768,43146.49480986373,3.946691638610356,3.5466390645685824
89619.99816553717,43147.30044111267,4.2154678649629655,3.447875826669467
89619.41122043759,43148.111348512,4.033662285895394,3.418297382169414
89618.8426915241,43148.93361024605,4.074208598274411,3.6916527762170044
89618.3020402618,43149.77330449906,4.319558628760889,3.426636659895052
89617.79872811597,43150.63650945542,4.1138585205163105,3.345680093996523
89617.34221655168,43151.52930329938,4.003756049791633,3.5930872936731677
89616.94196703417,43152.45776421527,3.809502567627409,3.6663639708495603
89616.60744102855,43153.427970387376,3.5848277933888655,3.968370362799237
89616.3481,43154.446,3.3790738272503704,4.276947459347468
89614.99738582113,43155.90111631657,3.7455220127427724,3.707939459474023
89614.37480462808,43156.71719875751,3.6428494032418315,3.6149238013360274
89613.8080996816,43157.5826727807,3.6916960810404214,3.644389187842362
89613.31224021815,43158.49009493145,3.6278731026878037,3.6485589712779873
89612.90219547441,43159.43202175513,3.577677709037693,3.726707596559111
89612.59293468701,43160.40100979705,3.578289559713122,3.948808657469837
89612.39942709252,43161.38961560256,3.7001901617337585,3.834622456209049
89612.33664192757,43162.390395717,3.8725355561116745,3.779237685727494
89612.41954842878,43163.39590668569,4.064748836142991,3.711704249073698
89612.66289300735,43164.39678301232,4.198574113820287,3.5392517497673652
89613.0771945118,43165.34719319671,4.377421428190008,3.3716816584072515
89613.66918980377,43166.16868317208,4.464878219537828,3.263411657581697
89614.44464248398,43166.78287579632,4.465909508595452,3.268072134997862
89615.37555348521,43167.16072915747,4.37004793717317,3.463367914560283
89616.38941066933,43167.33824545114,4.164665050338365,3.6228454312485243
89617.41515509457,43167.350193973776,3.9695634554773767,3.803957529201348
89618.41023001209,43167.19534277472,3.8646359951190306,3.880818666869265
89619.34351015525,43166.85882242181,3.704400555351407,4.183155871646565
89620.20539034977,43166.35714480373,3.586117249430515,4.218019176083453
89621.02200045061,43165.7590477965,3.5456941639575095,4.226578952988278
89621.82069533973,43165.13458950277,3.657867825400367,3.8904113596858596
89622.59236297078,43164.492558861006,3.8714284834740478,3.641857950470149
89623.29750666814,43163.79066206049,4.1281299830936815,3.559626336234407
89623.91291847402,43163.004665931374,4.314759649000735,3.412360914175907
89624.45625256213,43162.15690986396,4.528655503785215,3.6434768822015675
89624.95109056304,43161.27648902496,4.294506516228662,3.528557378557054
89625.41810586826,43160.387171809096,4.262389698407497,3.5894314174629267
89625.86722743041,43159.49304694399,4.1645333589651505,3.9304955969022894
89626.30594478395,43158.593719043856,3.995921671949415,3.8789539368134722
89626.74410752005,43157.69219858401,3.877927415670202,3.7528898511786606
89627.19515743098,43156.79668004136,3.7378609784387087,3.876277619537898
89627.6728377412,43155.91579289756,3.792150531657477,4.212646688984795
89628.18881971449,43155.0569356894,3.621793990123881,3.977296502712938
89628.73565994465,43154.21615099176,3.6890662484369954,3.9149650162328307
89629.2955952148,43153.383350414406,3.6649988992568177,3.7560804408342006
